danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,mood
0.369,0.467,-9.018,0.0274,0.0194,0.46,0.109,0.174,94.473,290147,0
0.499,0.181,-15.359,0.0429,0.745,0.00123,0.106,0.0747,111.956,214533,0
0.419,0.453,-7.685,0.0437,0.539,0,0.0971,0.356,140.327,191308,0
0.637,0.318,-10.07,0.0716,0.622,1.58E-06,0.125,0.383,74.11,280800,0
0.513,0.768,-4.868,0.0587,0.0118,1.94E-05,0.294,0.235,84.264,210580,0
0.386,0.136,-9.267,0.0458,0.932,0,0.0653,0.0976,67.016,225853,0
0.553,0.586,-6.319,0.0362,0.697,0,0.0813,0.443,126.684,196373,0
0.316,0.29,-13.652,0.0301,0.244,0.0664,0.122,0.102,106.091,292027,0
0.605,0.319,-10.892,0.0306,0.757,0.00237,0.116,0.273,109.603,243752,0
0.687,0.783,-4.44,0.0386,0.162,1.35E-05,0.114,0.443,129.964,231133,0
0.593,0.318,-15.592,0.0307,0.873,0.849,0.0943,0.115,120.011,276971,0
0.734,0.57,-7.066,0.133,0.847,2.14E-05,0.112,0.689,129.953,95467,0
0.641,0.234,-12.34,0.037,0.867,0,0.0942,0.373,136.059,202453,0
0.602,0.377,-6.213,0.0446,0.731,0,0.0808,0.518,73.877,194853,0
0.932,0.385,-15.749,0.125,0.143,1.23E-05,0.129,0.928,107.996,187000,0
0.551,0.386,-10.22,0.132,0.659,0,0.125,0.245,116.409,199387,0
0.432,0.34,-7.977,0.0824,0.807,0,0.0864,0.449,135.172,203947,0
0.681,0.582,-7.76,0.0313,0.22,0,0.119,0.221,124.038,248360,0
0.545,0.164,-17.384,0.0276,0.772,0.0107,0.0749,0.14,88.09,275160,0
0.591,0.262,-7.274,0.0334,0.888,1.95E-06,0.105,0.209,149.771,206077,0
0.703,0.267,-10.176,0.0875,0.32,0.0142,0.111,0.29,78.973,209751,0
0.555,0.284,-9.788,0.027,0.91,0,0.11,0.276,77.037,243896,0
0.736,0.454,-10.922,0.0579,0.0671,0,0.117,0.788,135.019,144103,0
0.722,0.583,-4.348,0.0816,0.0162,2.28E-06,0.104,0.154,81.953,117073,0
0.802,0.414,-10.635,0.0776,0.872,0,0.0863,0.377,131.952,195066,0
0.373,0.114,-17.951,0.0476,0.964,0.000498,0.111,0.173,127.545,214787,0
0.507,0.426,-9.657,0.0607,0.787,0,0.0895,0.353,129.699,195866,0
0.808,0.364,-12.306,0.0753,0.0404,0.947,0.106,0.0484,105.036,267292,0
0.785,0.679,-7.725,0.201,0.282,0,0.271,0.652,107.976,126111,0
0.287,0.264,-9.857,0.0267,0.831,0.00726,0.0968,0.0952,99.283,200147,0
0.678,0.414,-10.144,0.0498,0.366,3.78E-06,0.0885,0.355,130.031,243133,0
0.422,0.264,-7.064,0.0322,0.922,0,0.132,0.331,119.93,269560,0
0.62,0.288,-9.431,0.123,0.801,0,0.37,0.691,100.385,184695,0
0.639,0.23,-15.988,0.0285,0.687,0.0451,0.109,0.4,92.512,180600,0
0.429,0.481,-9.704,0.0273,0.417,0.757,0.158,0.268,100.802,232121,0
0.681,0.372,-8.237,0.0432,0.64,0,0.169,0.476,91.873,201000,0
0.39,0.252,-9.666,0.0298,0.808,0,0.0887,0.181,122.053,281947,0
0.393,0.443,-8.484,0.0265,0.485,4.25E-05,0.371,0.353,84.966,261107,0
